SRS_ID;WADMKK;WADMPR;NO;NAMA ITEM DATA;KELURAHAN;KECAMATAN;LATITUDE;LONGITUDE;TIPE ATM;ALAMAT
;;Sumatera Barat;86;HOTEL ROCKY;BENTENG PASAR ATAS;GUGUAK PANJANG;-0.3054102948432958;100.36819025861486;ATM Tunai;JL.YOS SUDARSO NO.29 BUKITTINGGI
;;Sumatera Barat;87;JMK MART;KUBU MARAPALAM;PADANG TIMUR;-0.9717972172823635;100.3804078303963;ATM Tunai;JL. AUR DURI (SIMPANG AIR MATI) PADANG
;;Sumatera Barat;88;JUANDA;RIMBO KALUANG;PADANG BARAT;-0.92254817465556;100.35308608686744;ATM Tunai;JL. JUANDA NO. 29 PADANG
;;Sumatera Barat;89;KAMPUS IAIN BUKIT TINGGI;KUBANG PUTIH;BANUHAMPU;-0.3227500920867539; 100.39652169891515;ATM Tunai;JL. GURUN AUR KUBANG PUTIH KAB AGAM SUAMATERA BARAT
;;Sumatera Barat;90;KAMPUS ITP PADANG;GUNUNG PANGILUN;PADANG UTARA;-0.8935041649115653;100.36549329288009;ATM Tunai;JL. GAJAH MADA PADANG
;;Sumatera Barat;91;KANTOR KAS BYPASS SYARIAH;OLO;PADANG BARAT;-0.8963742587215928;100.36436299481865;ATM Tunai;JALAN BELAKANG OLO NO. 45 PADANG
;;Sumatera Barat;92;KANTOR POS PADANG;SAWAHAN;PADANG BARAT;-0.9286512990363006;100.35655552904706;ATM Tunai;JL. BAGINDO AZIZ CHAN NO.7 PADANG
;;Sumatera Barat;93;KANTOR POS SINGKARAK;SINGKARAK;X KOTO SINGKARAK;-0.6723821802801755;100.60037922692746;ATM Tunai;JL. TAMAN WISATA NO. 27 DESA PASIA SINGKARAK
;;Sumatera Barat;94;KCP MENTAWAI;DESA TUAPEJAT;SIPORA UTARA;-1.899600018519955;99.60272027905044;ATM Tunai;JL. RAYA TUAPEJAT KM.1.5 MENTAWAI
;;Sumatera Barat;95;KCP MUARO SIJUNJUNG;MUARO;SIJUNJUNG;-0.5752481399570553;100.93379807602042;ATM Tunai;JL. SUDIRMAN NO. 190 SUBARANG OMBAK NAGARI
;;Sumatera Barat;96;KCP UJUNG GADING CRM;JORONG KUAMANG;LEMBAH MALINTANG;-0.33353617049351103;99.55138995336617;CRM;JL. FLORES NAGARI UJUNG GADING
;;Sumatera Barat;97;KK PADANG LUAR;NAGARI PADANG LUAR;BANU HAMPU;-0.3350985167072117;100.38196955944277;CRM;JL. RAYA BUKITTINGGI - PADANG KM 4 PASAR PADANG LUAR
