NO;ID;NAMA ITEM DATA;KELURAHAN;KECAMATAN;KABUPATEN/KOTA;LATITUDE;LONGITUDE;TIPE ATM;ALAMAT;DATA ATRIBUT7;DATA ATRIBUT8;DATA ATRIBUT9;PHOTO/GAMBAR
41;;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;KOTA PARIAMAN;-0.6232614564843586;100.11997945752671;ATM Tunai;JL. DIPONOGORO NO. 14 PARIAMAN;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
42;;GALLERY KCP PARIAMAN;KAMPUNG PONDOK;PARIAMAN TENGAH;KOTA PARIAMAN;-0.6232614564843586;100.11997945752671;ATM Tunai;JLN.YOS SUDARSO N0.309 LUBUK LINGGAU;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
43;;GALLERY KCP PASAMAN;LINGKUANG AUA;PASAMAN;KAB. PASAMAN BARAT;-0.23487734460130144;99.8348646520821;ATM Tunai;JL JENDRAL SUDIRMAN SIMPANG MEPAT PASAMAN;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
44;;GALLERY KCP PASAMAN;LINGKUANG AUA;PASAMAN;KAB. PASAMAN BARAT;-0.23487734460130144;99.8348646520821;ATM Tunai;JL JENDRAL SUDIRMAN SIMPANG MEPAT PASAMAN;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
45;;GALLERY KCP PASAMAN;LINGKUANG AUA;PASAMAN;KAB. PASAMAN BARAT;-0.23487734460130144;99.8348646520821;CRM;JL JENDRAL SUDIRMAN SIMPANG MEPAT PASAMAN;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
46;;GALLERY KCP VETERAN;KEL. PADANG PASIR;PADANG BARAT;KOTA PADANG;-0.9414262344153607;100.35503547103743;CRM;JL. VETERAN NO. 10;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
47;;GALLERY KCP VETERAN;PURUS;PADANG BARAT;KOTA PADANG;-0.9414262344153607;100.35503547103743;ATM Non-Tunai;JL. VETERAN NO. 10 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
48;;GALLERY KCP VETERAN;PURUS;PADANG BARAT;KOTA PADANG;-0.9415073204134903;100.35487447612265;ATM Tunai;JL. VETERAN NO. 10 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
49;;GALLERY KCP VETERAN;PURUS;PADANG BARAT;KOTA PADANG;-0.9415073204134903;100.35487447612265;ATM Tunai;JL. VETERAN NO. 10 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
50;;GALLERY KCU BUKITTINGGI;ATTS;GUGUAK PANJANG;KOTA BUKITTINGGI;-0.30410369805251514;100.37054954990658;CRM;JALAN PERINTIS KEMERDEKAAN NO.15 BUKIT TINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
51;;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;KOTA BUKITTINGGI;-0.30464450024327455;100.37054955036216;ATM Tunai;JALANPERINTIS KEMERDEKAAN NO.15 BUKIT TINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
52;;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;KOTA BUKITTINGGI;-0.30464450024327455;100.37054955036216;CRM;JL. PERINTIS KEMERDEKAAN NO.15 BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
53;;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;KOTA BUKITTINGGI;-0.30464450024327455;100.37054955036216;ATM Tunai;JL.PERINTIS KEMERDEKAAN NO 15 BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
54;;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;KOTA BUKITTINGGI;-0.30464450024327455;100.37054955036216;ATM Non-Tunai;JL.PERINTIS KEMERDEKAAN NO 15 BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
55;;GALLERY KCU BUKITTINGGI;ATTS;GUGUK PANJANG;KOTA BUKITTINGGI;-0.30464450024327455;100.37054955036216;ATM Tunai;JL.PERINTIS KEMERDEKAAN NO.15 BUKIT TINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
